Current lr 0.01
Epoch:[0][6400/28412]	Time 0.265 (1.505)	Data 0.001 (1.302)	Loss 0.009 (0.018)	Accuracy 0.997 (0.994)	Precison 0.992 (0.941)	Recall 0.940 (0.896)
Epoch:[0][6600/28412]	Time 0.272 (1.498)	Data 0.013 (1.295)	Loss 0.009 (0.018)	Accuracy 0.998 (0.994)	Precison 1.000 (0.942)	Recall 0.960 (0.899)
Epoch:[0][6800/28412]	Time 0.184 (1.489)	Data 0.000 (1.287)	Loss 0.010 (0.018)	Accuracy 0.997 (0.994)	Precison 0.962 (0.943)	Recall 0.968 (0.901)
Epoch:[0][7000/28412]	Time 0.202 (1.484)	Data 0.001 (1.281)	Loss 0.006 (0.018)	Accuracy 0.998 (0.994)	Precison 0.987 (0.945)	Recall 0.991 (0.903)
Epoch:[0][7200/28412]	Time 0.176 (1.475)	Data 0.000 (1.273)	Loss 0.002 (0.017)	Accuracy 1.000 (0.994)	Precison 1.000 (0.946)	Recall 0.996 (0.904)
Epoch:[0][7400/28412]	Time 0.233 (1.470)	Data 0.000 (1.268)	Loss 0.003 (0.017)	Accuracy 1.000 (0.994)	Precison 1.000 (0.947)	Recall 0.995 (0.906)
Epoch:[0][7600/28412]	Time 0.206 (1.464)	Data 0.013 (1.262)	Loss 0.010 (0.017)	Accuracy 0.996 (0.994)	Precison 0.995 (0.947)	Recall 0.943 (0.908)
Epoch:[0][7800/28412]	Time 0.189 (1.459)	Data 0.000 (1.257)	Loss 0.015 (0.017)	Accuracy 0.995 (0.995)	Precison 0.959 (0.948)	Recall 0.922 (0.909)
Epoch:[0][8000/28412]	Time 0.198 (1.452)	Data 0.013 (1.251)	Loss 0.009 (0.017)	Accuracy 0.998 (0.995)	Precison 0.989 (0.949)	Recall 0.985 (0.911)
Epoch:[0][8200/28412]	Time 0.186 (1.448)	Data 0.000 (1.247)	Loss 0.007 (0.016)	Accuracy 0.997 (0.995)	Precison 0.984 (0.950)	Recall 0.968 (0.912)
Epoch:[0][8400/28412]	Time 0.278 (1.443)	Data 0.004 (1.242)	Loss 0.005 (0.016)	Accuracy 0.999 (0.995)	Precison 0.995 (0.951)	Recall 0.991 (0.914)
Epoch:[0][8600/28412]	Time 0.187 (1.439)	Data 0.000 (1.238)	Loss 0.006 (0.016)	Accuracy 0.998 (0.995)	Precison 0.966 (0.951)	Recall 0.988 (0.915)
Epoch:[0][8800/28412]	Time 0.194 (1.433)	Data 0.000 (1.231)	Loss 0.003 (0.016)	Accuracy 1.000 (0.995)	Precison 0.993 (0.952)	Recall 1.000 (0.916)
Epoch:[0][9000/28412]	Time 0.201 (1.429)	Data 0.022 (1.228)	Loss 0.012 (0.016)	Accuracy 0.996 (0.995)	Precison 0.984 (0.953)	Recall 0.918 (0.917)
Epoch:[0][9200/28412]	Time 0.190 (1.424)	Data 0.000 (1.223)	Loss 0.010 (0.016)	Accuracy 0.998 (0.995)	Precison 0.978 (0.953)	Recall 0.937 (0.918)
Epoch:[0][9400/28412]	Time 0.180 (1.421)	Data 0.000 (1.220)	Loss 0.016 (0.015)	Accuracy 0.997 (0.995)	Precison 0.981 (0.954)	Recall 0.958 (0.920)
Epoch:[0][9600/28412]	Time 0.180 (1.416)	Data 0.000 (1.215)	Loss 0.008 (0.015)	Accuracy 0.998 (0.995)	Precison 0.977 (0.955)	Recall 0.977 (0.921)
Epoch:[0][9800/28412]	Time 0.245 (1.413)	Data 0.019 (1.213)	Loss 0.013 (0.015)	Accuracy 0.997 (0.995)	Precison 0.991 (0.955)	Recall 0.968 (0.922)
Epoch:[0][10000/28412]	Time 0.177 (1.409)	Data 0.000 (1.209)	Loss 0.009 (0.015)	Accuracy 0.998 (0.995)	Precison 0.985 (0.956)	Recall 0.975 (0.923)
Epoch:[0][10200/28412]	Time 0.193 (1.407)	Data 0.000 (1.206)	Loss 0.008 (0.015)	Accuracy 0.998 (0.995)	Precison 0.984 (0.956)	Recall 0.988 (0.924)
Epoch:[0][10400/28412]	Time 0.190 (1.403)	Data 0.013 (1.202)	Loss 0.004 (0.015)	Accuracy 0.998 (0.995)	Precison 1.000 (0.957)	Recall 0.980 (0.925)
Epoch:[0][10600/28412]	Time 0.248 (1.400)	Data 0.066 (1.200)	Loss 0.003 (0.015)	Accuracy 0.999 (0.995)	Precison 0.994 (0.957)	Recall 0.994 (0.925)
Epoch:[0][10800/28412]	Time 0.237 (1.397)	Data 0.000 (1.196)	Loss 0.008 (0.014)	Accuracy 0.997 (0.995)	Precison 0.942 (0.958)	Recall 0.992 (0.926)
Epoch:[0][11000/28412]	Time 0.202 (1.394)	Data 0.002 (1.194)	Loss 0.010 (0.014)	Accuracy 0.998 (0.995)	Precison 0.993 (0.958)	Recall 0.987 (0.927)
Epoch:[0][11200/28412]	Time 0.163 (1.391)	Data 0.000 (1.190)	Loss 0.015 (0.014)	Accuracy 0.996 (0.995)	Precison 0.982 (0.959)	Recall 0.956 (0.928)
Epoch:[0][11400/28412]	Time 0.239 (1.388)	Data 0.010 (1.187)	Loss 0.007 (0.014)	Accuracy 0.999 (0.996)	Precison 0.982 (0.959)	Recall 0.982 (0.929)
Epoch:[0][11600/28412]	Time 0.179 (1.383)	Data 0.013 (1.183)	Loss 0.005 (0.014)	Accuracy 0.998 (0.996)	Precison 0.986 (0.959)	Recall 0.947 (0.929)
Epoch:[0][11800/28412]	Time 0.170 (1.380)	Data 0.007 (1.180)	Loss 0.006 (0.014)	Accuracy 0.999 (0.996)	Precison 1.000 (0.960)	Recall 0.960 (0.930)
Epoch:[0][12000/28412]	Time 0.163 (1.376)	Data 0.000 (1.176)	Loss 0.005 (0.014)	Accuracy 0.999 (0.996)	Precison 1.000 (0.960)	Recall 0.985 (0.931)
Epoch:[0][12200/28412]	Time 0.254 (1.373)	Data 0.000 (1.173)	Loss 0.013 (0.014)	Accuracy 0.996 (0.996)	Precison 0.993 (0.960)	Recall 0.966 (0.931)
Epoch:[0][12400/28412]	Time 0.165 (1.369)	Data 0.000 (1.170)	Loss 0.003 (0.014)	Accuracy 0.999 (0.996)	Precison 0.994 (0.961)	Recall 0.989 (0.932)
Epoch:[0][12600/28412]	Time 0.165 (1.366)	Data 0.000 (1.167)	Loss 0.011 (0.014)	Accuracy 0.998 (0.996)	Precison 0.994 (0.961)	Recall 0.971 (0.933)
Epoch:[0][12800/28412]	Time 0.163 (1.362)	Data 0.000 (1.164)	Loss 0.013 (0.014)	Accuracy 0.997 (0.996)	Precison 0.993 (0.962)	Recall 0.974 (0.933)
