Current lr 0.01
Epoch:[0][0/200000]	Time 6.747 (6.747)	Data 6.592 (6.592)	Loss 0.695 (0.695)	Accuracy 0.420 (0.420)	Precison 0.186 (0.186)	Recall 0.258 (0.258)
Epoch:[0][500/200000]	Time 0.011 (0.103)	Data 0.000 (0.083)	Loss 2.009 (0.461)	Accuracy 0.060 (0.830)	Precison 0.000 (0.000)	Recall 0.000 (0.001)
Epoch:[0][1000/200000]	Time 0.012 (0.089)	Data 0.000 (0.071)	Loss 0.132 (0.421)	Accuracy 1.000 (0.833)	Precison 0.000 (0.038)	Recall 0.000 (0.015)
Epoch:[0][1500/200000]	Time 0.028 (0.085)	Data 0.000 (0.067)	Loss 2.895 (0.387)	Accuracy 0.050 (0.844)	Precison 1.000 (0.143)	Recall 0.050 (0.080)
Epoch:[0][2000/200000]	Time 0.030 (0.092)	Data 0.000 (0.072)	Loss 0.253 (0.363)	Accuracy 0.970 (0.853)	Precison 0.000 (0.213)	Recall 0.000 (0.138)
Epoch:[0][2500/200000]	Time 0.255 (0.095)	Data 0.236 (0.075)	Loss 0.231 (0.342)	Accuracy 0.930 (0.861)	Precison 0.000 (0.255)	Recall 0.000 (0.168)
Epoch:[0][3000/200000]	Time 0.024 (0.096)	Data 0.000 (0.076)	Loss 0.197 (0.328)	Accuracy 0.940 (0.867)	Precison 0.600 (0.286)	Recall 0.429 (0.198)
Epoch:[0][3500/200000]	Time 0.023 (0.096)	Data 0.008 (0.076)	Loss 0.097 (0.316)	Accuracy 0.970 (0.872)	Precison 0.800 (0.314)	Recall 0.889 (0.223)
Epoch:[0][4000/200000]	Time 0.027 (0.096)	Data 0.007 (0.076)	Loss 0.066 (0.306)	Accuracy 0.990 (0.876)	Precison 0.000 (0.333)	Recall 0.000 (0.240)
Epoch:[0][4500/200000]	Time 0.049 (0.096)	Data 0.020 (0.076)	Loss 0.167 (0.296)	Accuracy 0.940 (0.881)	Precison 0.981 (0.347)	Recall 0.911 (0.255)
Epoch:[0][5000/200000]	Time 0.392 (0.097)	Data 0.384 (0.076)	Loss 0.187 (0.289)	Accuracy 0.930 (0.884)	Precison 0.000 (0.357)	Recall 0.000 (0.263)
Epoch:[0][5500/200000]	Time 0.639 (0.097)	Data 0.611 (0.077)	Loss 0.537 (0.282)	Accuracy 0.760 (0.887)	Precison 0.000 (0.369)	Recall 0.000 (0.277)
Epoch:[0][6000/200000]	Time 0.028 (0.098)	Data 0.000 (0.077)	Loss 0.136 (0.276)	Accuracy 0.960 (0.890)	Precison 1.000 (0.376)	Recall 0.333 (0.282)
Epoch:[0][6500/200000]	Time 0.030 (0.099)	Data 0.011 (0.078)	Loss 0.046 (0.269)	Accuracy 1.000 (0.893)	Precison 0.000 (0.386)	Recall 0.000 (0.291)
Epoch:[0][7000/200000]	Time 0.113 (0.099)	Data 0.094 (0.078)	Loss 0.161 (0.265)	Accuracy 0.940 (0.895)	Precison 0.000 (0.392)	Recall 0.000 (0.297)
Epoch:[0][7500/200000]	Time 0.030 (0.099)	Data 0.000 (0.078)	Loss 0.115 (0.259)	Accuracy 0.970 (0.897)	Precison 0.000 (0.401)	Recall 0.000 (0.307)
Epoch:[0][8000/200000]	Time 0.027 (0.099)	Data 0.000 (0.078)	Loss 0.134 (0.255)	Accuracy 0.950 (0.899)	Precison 0.400 (0.408)	Recall 0.500 (0.313)
Epoch:[0][8500/200000]	Time 0.031 (0.100)	Data 0.013 (0.078)	Loss 0.149 (0.250)	Accuracy 0.960 (0.902)	Precison 0.727 (0.414)	Recall 0.889 (0.319)
Epoch:[0][9000/200000]	Time 0.063 (0.100)	Data 0.045 (0.079)	Loss 0.600 (0.246)	Accuracy 0.840 (0.903)	Precison 0.000 (0.421)	Recall 0.000 (0.326)
Epoch:[0][9500/200000]	Time 0.021 (0.100)	Data 0.000 (0.079)	Loss 0.165 (0.242)	Accuracy 0.920 (0.905)	Precison 0.400 (0.427)	Recall 0.667 (0.333)
Epoch:[0][10000/200000]	Time 0.060 (0.100)	Data 0.052 (0.079)	Loss 0.033 (0.238)	Accuracy 1.000 (0.907)	Precison 0.000 (0.431)	Recall 0.000 (0.337)
Epoch:[0][10500/200000]	Time 0.015 (0.100)	Data 0.000 (0.079)	Loss 0.053 (0.235)	Accuracy 0.980 (0.908)	Precison 0.000 (0.436)	Recall 0.000 (0.341)
Epoch:[0][11000/200000]	Time 0.034 (0.099)	Data 0.018 (0.079)	Loss 0.021 (0.232)	Accuracy 1.000 (0.909)	Precison 0.000 (0.441)	Recall 0.000 (0.346)
Epoch:[0][11500/200000]	Time 0.236 (0.099)	Data 0.222 (0.078)	Loss 0.013 (0.229)	Accuracy 1.000 (0.911)	Precison 0.000 (0.448)	Recall 0.000 (0.352)
Epoch:[0][12000/200000]	Time 0.032 (0.098)	Data 0.017 (0.078)	Loss 0.073 (0.226)	Accuracy 0.970 (0.912)	Precison 0.000 (0.452)	Recall 0.000 (0.358)
Epoch:[0][12500/200000]	Time 0.015 (0.098)	Data 0.000 (0.077)	Loss 0.118 (0.223)	Accuracy 0.950 (0.914)	Precison 0.848 (0.456)	Recall 1.000 (0.361)
Epoch:[0][13000/200000]	Time 0.359 (0.097)	Data 0.350 (0.077)	Loss 0.068 (0.219)	Accuracy 0.990 (0.915)	Precison 0.750 (0.461)	Recall 1.000 (0.367)
Epoch:[0][13500/200000]	Time 0.016 (0.097)	Data 0.001 (0.076)	Loss 0.038 (0.216)	Accuracy 0.990 (0.916)	Precison 0.000 (0.466)	Recall 0.000 (0.372)
Epoch:[0][14000/200000]	Time 0.017 (0.097)	Data 0.000 (0.076)	Loss 0.176 (0.213)	Accuracy 0.940 (0.918)	Precison 0.750 (0.470)	Recall 0.600 (0.377)
Epoch:[0][14500/200000]	Time 0.017 (0.096)	Data 0.000 (0.076)	Loss 0.092 (0.210)	Accuracy 0.980 (0.919)	Precison 1.000 (0.474)	Recall 0.941 (0.382)
Epoch:[0][15000/200000]	Time 0.064 (0.096)	Data 0.055 (0.076)	Loss 0.157 (0.209)	Accuracy 0.940 (0.920)	Precison 0.667 (0.475)	Recall 0.286 (0.383)
Epoch:[0][15500/200000]	Time 0.034 (0.096)	Data 0.000 (0.075)	Loss 0.003 (0.208)	Accuracy 1.000 (0.920)	Precison 1.000 (0.477)	Recall 1.000 (0.385)
Epoch:[0][16000/200000]	Time 0.023 (0.095)	Data 0.000 (0.075)	Loss 0.117 (0.206)	Accuracy 0.990 (0.921)	Precison 0.933 (0.481)	Recall 1.000 (0.388)
Epoch:[0][16500/200000]	Time 0.013 (0.096)	Data 0.000 (0.075)	Loss 0.058 (0.204)	Accuracy 0.970 (0.922)	Precison 0.333 (0.484)	Recall 0.500 (0.392)
Epoch:[0][17000/200000]	Time 0.796 (0.096)	Data 0.787 (0.076)	Loss 0.209 (0.202)	Accuracy 0.850 (0.922)	Precison 1.000 (0.486)	Recall 0.375 (0.394)
Epoch:[0][17500/200000]	Time 0.024 (0.096)	Data 0.000 (0.076)	Loss 0.011 (0.201)	Accuracy 1.000 (0.923)	Precison 1.000 (0.490)	Recall 1.000 (0.398)
Epoch:[0][18000/200000]	Time 0.056 (0.096)	Data 0.015 (0.076)	Loss 0.077 (0.200)	Accuracy 0.960 (0.924)	Precison 0.500 (0.492)	Recall 0.750 (0.401)
Epoch:[0][18500/200000]	Time 0.016 (0.096)	Data 0.000 (0.075)	Loss 0.102 (0.198)	Accuracy 0.970 (0.924)	Precison 1.000 (0.494)	Recall 0.667 (0.404)
Epoch:[0][19000/200000]	Time 0.035 (0.096)	Data 0.026 (0.075)	Loss 0.180 (0.197)	Accuracy 0.900 (0.925)	Precison 0.444 (0.497)	Recall 0.444 (0.408)
Epoch:[0][19500/200000]	Time 0.026 (0.095)	Data 0.000 (0.075)	Loss 0.150 (0.195)	Accuracy 0.910 (0.925)	Precison 1.000 (0.499)	Recall 0.640 (0.409)
Epoch:[0][20000/200000]	Time 0.021 (0.095)	Data 0.000 (0.075)	Loss 0.309 (0.194)	Accuracy 0.870 (0.926)	Precison 0.800 (0.501)	Recall 0.250 (0.412)
Epoch:[0][20500/200000]	Time 0.087 (0.095)	Data 0.075 (0.075)	Loss 0.434 (0.193)	Accuracy 0.950 (0.926)	Precison 0.000 (0.503)	Recall 0.000 (0.414)
Epoch:[0][21000/200000]	Time 0.009 (0.095)	Data 0.000 (0.074)	Loss 0.197 (0.192)	Accuracy 0.900 (0.927)	Precison 1.000 (0.506)	Recall 0.375 (0.416)
Epoch:[0][21500/200000]	Time 0.019 (0.094)	Data 0.000 (0.074)	Loss 0.146 (0.190)	Accuracy 0.930 (0.928)	Precison 0.667 (0.508)	Recall 0.444 (0.419)
Epoch:[0][22000/200000]	Time 0.028 (0.094)	Data 0.013 (0.074)	Loss 0.174 (0.189)	Accuracy 0.950 (0.928)	Precison 1.000 (0.510)	Recall 0.848 (0.423)
Epoch:[0][22500/200000]	Time 0.021 (0.094)	Data 0.000 (0.074)	Loss 0.089 (0.187)	Accuracy 0.980 (0.929)	Precison 0.000 (0.513)	Recall 0.000 (0.426)
Epoch:[0][23000/200000]	Time 0.008 (0.094)	Data 0.000 (0.074)	Loss 0.051 (0.185)	Accuracy 0.980 (0.930)	Precison 0.913 (0.516)	Recall 1.000 (0.429)
Epoch:[0][23500/200000]	Time 0.024 (0.094)	Data 0.000 (0.073)	Loss 0.116 (0.184)	Accuracy 0.970 (0.930)	Precison 0.000 (0.518)	Recall 0.000 (0.432)
Epoch:[0][24000/200000]	Time 0.026 (0.093)	Data 0.011 (0.073)	Loss 0.076 (0.182)	Accuracy 0.980 (0.931)	Precison 0.857 (0.520)	Recall 0.857 (0.434)
Epoch:[0][24500/200000]	Time 0.026 (0.093)	Data 0.013 (0.073)	Loss 0.165 (0.181)	Accuracy 0.970 (0.932)	Precison 1.000 (0.522)	Recall 0.968 (0.437)
Epoch:[0][25000/200000]	Time 0.024 (0.093)	Data 0.000 (0.073)	Loss 0.229 (0.180)	Accuracy 0.880 (0.932)	Precison 1.000 (0.523)	Recall 0.143 (0.438)
Epoch:[0][25500/200000]	Time 0.013 (0.093)	Data 0.000 (0.073)	Loss 0.225 (0.178)	Accuracy 0.900 (0.933)	Precison 0.000 (0.525)	Recall 0.000 (0.441)
Epoch:[0][26000/200000]	Time 0.012 (0.093)	Data 0.001 (0.073)	Loss 0.051 (0.178)	Accuracy 0.990 (0.933)	Precison 0.750 (0.526)	Recall 1.000 (0.442)
Epoch:[0][26500/200000]	Time 0.009 (0.093)	Data 0.000 (0.073)	Loss 0.036 (0.177)	Accuracy 0.990 (0.933)	Precison 1.000 (0.527)	Recall 0.977 (0.444)
Epoch:[0][27000/200000]	Time 0.021 (0.093)	Data 0.000 (0.073)	Loss 0.047 (0.175)	Accuracy 0.990 (0.934)	Precison 1.000 (0.529)	Recall 0.982 (0.446)
Epoch:[0][27500/200000]	Time 0.024 (0.092)	Data 0.000 (0.072)	Loss 0.170 (0.174)	Accuracy 0.880 (0.934)	Precison 1.000 (0.531)	Recall 0.333 (0.448)
Epoch:[0][28000/200000]	Time 0.026 (0.092)	Data 0.010 (0.072)	Loss 0.254 (0.173)	Accuracy 0.890 (0.935)	Precison 0.500 (0.533)	Recall 1.000 (0.450)
Epoch:[0][28500/200000]	Time 0.012 (0.092)	Data 0.000 (0.072)	Loss 0.033 (0.172)	Accuracy 1.000 (0.935)	Precison 1.000 (0.534)	Recall 1.000 (0.452)
Epoch:[0][29000/200000]	Time 0.059 (0.092)	Data 0.020 (0.072)	Loss 0.185 (0.171)	Accuracy 0.960 (0.936)	Precison 0.000 (0.536)	Recall 0.000 (0.454)
Epoch:[0][29500/200000]	Time 0.116 (0.091)	Data 0.108 (0.072)	Loss 0.257 (0.170)	Accuracy 0.910 (0.936)	Precison 1.000 (0.538)	Recall 0.100 (0.456)
Epoch:[0][30000/200000]	Time 0.030 (0.091)	Data 0.000 (0.072)	Loss 0.161 (0.169)	Accuracy 0.930 (0.937)	Precison 1.000 (0.539)	Recall 0.125 (0.458)
Epoch:[0][30500/200000]	Time 0.016 (0.091)	Data 0.000 (0.072)	Loss 0.121 (0.167)	Accuracy 0.930 (0.937)	Precison 1.000 (0.540)	Recall 0.364 (0.458)
Epoch:[0][31000/200000]	Time 0.024 (0.091)	Data 0.000 (0.071)	Loss 0.091 (0.166)	Accuracy 0.960 (0.938)	Precison 0.889 (0.542)	Recall 0.727 (0.461)
Epoch:[0][31500/200000]	Time 0.024 (0.091)	Data 0.000 (0.071)	Loss 0.056 (0.166)	Accuracy 0.990 (0.938)	Precison 1.000 (0.543)	Recall 0.983 (0.462)
Epoch:[0][32000/200000]	Time 0.034 (0.091)	Data 0.017 (0.071)	Loss 0.117 (0.165)	Accuracy 0.960 (0.938)	Precison 0.000 (0.544)	Recall 0.000 (0.464)
Epoch:[0][32500/200000]	Time 0.036 (0.091)	Data 0.021 (0.071)	Loss 0.047 (0.163)	Accuracy 0.990 (0.939)	Precison 0.750 (0.546)	Recall 1.000 (0.466)
Epoch:[0][33000/200000]	Time 0.982 (0.091)	Data 0.969 (0.071)	Loss 0.032 (0.162)	Accuracy 1.000 (0.939)	Precison 1.000 (0.548)	Recall 1.000 (0.468)
Epoch:[0][33500/200000]	Time 0.037 (0.091)	Data 0.017 (0.071)	Loss 0.196 (0.161)	Accuracy 0.900 (0.940)	Precison 0.333 (0.549)	Recall 0.111 (0.469)
